time,open,high,low,close,MA,Volume,Volume MA
2024-04-26,2332.49,2352.64,2326.365,2338.05,2336.522250000001,210509,245475.05
2024-04-29,2338.05,2346.83,2319.84,2335.55,2340.7162500000013,214642,247995.1
2024-04-30,2335.55,2336.41,2285.22,2286.21,2340.9860000000012,189148,247941.4
2024-05-01,2286.21,2328.43,2281.68,2319.56,2341.9675000000016,219369,248457.65
2024-05-02,2319.56,2326.515,2285.545,2303.8,2342.597000000001,222880,251025.05
2024-05-03,2303.8,2320.705,2277.345,2301.81,2341.179500000001,211036,250336.1
2024-05-06,2301.81,2332.225,2291.85,2323.995,2340.421750000001,195677,247235.25
2024-05-07,2323.995,2329.98,2310.04,2314.135,2338.508000000001,185138,245101.8
2024-05-08,2314.135,2321.53,2303.745,2308.69,2337.249250000001,144285,240543.65
2024-05-09,2308.69,2347.25,2306.655,2346.245,2335.947250000001,193325,239355.05
2024-05-10,2346.245,2378.56,2345.325,2360.515,2336.761250000001,208503,233440.8
2024-05-13,2360.515,2364.555,2332.11,2336.14,2334.3927500000013,162094,227056.2
2024-05-14,2336.14,2359.705,2334.89,2357.98,2333.135250000001,166194,219648.8
2024-05-15,2357.98,2390.315,2351.915,2386.13,2334.387000000001,205493,217105.65
2024-05-16,2386.13,2397.515,2371.01,2376.955,2334.282250000001,192066,214902.1
2024-05-17,2376.955,2422.79,2374.02,2414.715,2335.4145000000017,176052,207568.65
2024-05-20,2414.715,2450.125,2407.34,2426.53,2340.3790000000013,268285,208338.6
2024-05-21,2426.53,2433.995,2406.16,2421.025,2345.323750000001,230456,204270.8
2024-05-22,2421.025,2426.615,2374.995,2379.175,2348.485000000001,237569,203927.1
2024-05-23,2379.175,2383.785,2327.02,2328.675,2348.2942500000013,276873,205479.7
2024-05-24,2328.675,2347.54,2325.465,2334,2348.0917500000014,166580,203283.25
2024-05-27,2334,2358.565,2332.285,2351.375,2348.883000000001,126705,198886.4
2024-05-28,2351.375,2364.175,2340.31,2361.385,2352.641750000001,189280,198893
2024-05-29,2361.385,2361.615,2334.54,2338.145,2353.5710000000013,161527,196000.9
2024-05-30,2338.145,2351.905,2322.66,2343.34,2355.5480000000016,205118,195112.8
2024-05-31,2343.34,2359.725,2320.595,2327.2,2356.8175000000015,203391,194730.55
2024-06-03,2327.2,2354.77,2314.795,2350.635,2358.1495000000014,226649,196279.15
2024-06-04,2350.635,2352.885,2315.675,2327.01,2358.7932500000015,231071,198575.8
2024-06-05,2327.01,2357.425,2325.965,2355.28,2361.1227500000014,190215,200872.3
2024-06-06,2355.28,2378.6,2353.5,2376.09,2362.615000000001,209308,201671.45
2024-06-07,2376.09,2387.785,2286.83,2294.015,2359.2900000000013,275497,205021.15
2024-06-10,2294.015,2313.865,2287.805,2310.995,2358.032750000001,150319,204432.4
2024-06-11,2310.995,2320,2297.8,2316.905,2355.9790000000016,182302,205237.8
2024-06-12,2316.905,2341.7,2310.75,2325.03,2352.924000000002,253456,207635.95
2024-06-13,2325.03,2326.795,2295.59,2304.135,2349.2830000000017,232552,209660.25
2024-06-14,2304.135,2336.725,2301.605,2332.645,2345.179500000001,198693,210792.3
2024-06-17,2332.645,2332.645,2310.02,2319.285,2339.817250000001,167115,205733.8
2024-06-18,2320.295,2333.165,2306.65,2329.58,2335.2450000000017,169498,202685.9
2024-06-19,2329.005,2335.03,2323.78,2328.23,2332.6977500000016,88930,195253.95
2024-06-20,2330.075,2365.59,2327.765,2360.145,2334.2712500000016,175641,190192.35
2024-06-21,2359.665,2368.765,2316.785,2321.875,2333.665000000002,180701,190898.4
2024-06-24,2321.03,2334.73,2317.775,2334.43,2332.8177500000015,163356,192730.95
2024-06-25,2333.945,2337.16,2315.59,2319.595,2330.7282500000015,169421,191738
2024-06-26,2320.13,2324.015,2293.69,2298.47,2328.7445000000016,187602,193041.75
2024-06-27,2298.84,2331.015,2296.61,2327.81,2327.9680000000017,170158,191293.75
2024-06-28,2327.105,2339.785,2319.105,2326.72,2327.9440000000022,176721,189960.25
2024-07-01,2323.32,2338.545,2318.605,2331.855,2327.005000000002,164745,186865.05
2024-07-02,2331.875,2336.89,2319.13,2329.485,2327.128750000002,156837,183153.35
2024-07-03,2330.335,2364.995,2326.885,2356.16,2327.172750000002,167602,182022.7
2024-07-04,2356.955,2362.6,2350.51,2357.2,2326.228250000002,89609,176037.75
2024-07-05,2357.03,2392.965,2348.62,2391.62,2331.108500000002,195599,172042.85
2024-07-08,2389.41,2391.13,2351.09,2359.26,2333.521750000002,187976,173925.7
2024-07-09,2359.125,2371.625,2349.485,2364.03,2335.878000000002,181350,173878.1
2024-07-10,2363.9,2386.73,2363.15,2371.32,2338.192500000002,168686,169639.6
2024-07-11,2371.93,2424.6,2371.34,2415.375,2343.754500000002,237015,169862.75
2024-07-12,2413.075,2418.31,2391.52,2410.92,2347.668250000002,210057,170430.95
2024-07-15,2411.81,2439.855,2401.405,2422.395,2352.8237500000023,213404,172745.4
2024-07-16,2422.08,2469.765,2420.08,2468.93,2359.7912500000025,213594,174950.2
2024-07-17,2467.82,2483.74,2451.57,2458.81,2366.320250000002,262838,183645.6
2024-07-18,2458.755,2475,2440.415,2445.31,2370.5785000000024,220149,185871
2024-07-19,2444.495,2445.34,2393.88,2400.82,2374.525750000002,234446,188558.25
2024-07-22,2403.82,2412.255,2383.93,2396.42,2377.6252500000023,208530,190816.95
2024-07-23,2397.595,2412.075,2388.31,2409.65,2382.1280000000024,210649,192878.35
2024-07-24,2408.785,2432.065,2396.86,2397.395,2387.0742500000024,223357,194666.1
2024-07-25,2397.855,2401.31,2353.195,2364.3,2388.8987500000026,306369,201476.65
2024-07-26,2364.505,2390.84,2355.875,2387.02,2391.9137500000024,218330,203557.1
2024-07-29,2388.395,2403.265,2369.65,2383.79,2394.5105000000026,208280,205733.85
2024-07-30,2382.525,2412.935,2376.535,2410.88,2398.5802500000027,212759,208529.95
2024-07-31,2410.74,2451.005,2403.94,2447.57,2403.1507500000025,263139,213306.8
2024-08-01,2447.77,2462.325,2430.275,2446.385,2407.6100000000024,308308,224241.75
2024-08-02,2447.24,2477.725,2410.885,2442.495,2410.153750000002,361891,232556.35
2024-08-05,2441.94,2458.875,2364.39,2409.89,2412.6852500000023,475567,246935.9
2024-08-06,2411.395,2418.43,2381.56,2390.13,2413.9902500000026,340393,254888.05
2024-08-07,2390.195,2407.125,2379.05,2382.91,2414.5697500000024,290786,260993.05
2024-08-08,2381.475,2427.755,2381.14,2427.27,2415.1645000000026,265056,262395.1
2024-08-09,2427.22,2437.085,2416.925,2431.265,2416.1817500000025,223088,263046.65
2024-08-12,2428.135,2473.225,2423.89,2472.12,2418.6680000000024,180141,261383.5
2024-08-13,2470.39,2476.99,2458.56,2465.055,2418.4742500000025,205142,260960.9
2024-08-14,2466.365,2480.125,2438.145,2447.95,2417.9312500000024,224080,259023
2024-08-15,2448.2,2470.155,2432.225,2456.545,2418.4930000000027,226169,259324
2024-08-16,2456.105,2509.82,2450.805,2508.14,2423.8590000000027,223838,258793.6
2024-08-19,2506.525,2507.535,2485.735,2504.285,2429.2522500000023,220264,259380.3
2024-08-20,2503.74,2531.765,2497.4,2514.11,2434.4752500000022,229278,260311.75
2024-08-21,2513.86,2519.985,2493.83,2512.25,2440.2180000000026,213088,259798.3
2024-08-22,2512.22,2514.73,2470.85,2484.72,2446.2390000000023,222479,255603.8
2024-08-23,2485.335,2518.4,2484.41,2512.49,2452.512500000002,230098,256192.2
2024-08-26,2512.035,2526.9,2508.81,2517.955,2459.220750000002,198137,255685.05
2024-08-27,2517.73,2526.01,2503.585,2524.825,2464.9180000000024,201379,255116.05
2024-08-28,2525.26,2529.135,2493.665,2504.67,2467.7730000000024,205552,252236.7
2024-08-29,2506.21,2528.74,2503.69,2521.215,2471.5145000000025,219815,247812.05
2024-08-30,2520.805,2526.925,2494.215,2503.4,2474.5597500000026,223097,240872.35
